,season,team,conference,off_plays,off_drives,off_total_ppa,successful_plays,off_success_rate,off_line_yds_total,off_second_lvl_yds_total,off_open_field_yds_total,off_havoc_plays,off_havoc_total,off_standard_downs,off_standard_downs_rate,off_standard_down_ppa_total,off_standard_down_success,off_standard_downs_success_rate,off_standard_downs_explosiveness,off_passing_downs,off_passing_downs_rate,off_passing_down_ppa,off_passing_down_successes,off_passing_downs_success_rate,off_passing_downs_explosiveness,off_rushing_plays,off_rushing_plays_rate,off_rushing_plays_total_ppa,successful_rushes,off_rushing_plays_success_rate,off_rushing_plays_explosiveness,off_passing_plays,off_passing_plays_rate,off_passing_plays_total_ppa,successful_passes,off_passing_plays_success_rate,off_passing_plays_explosiveness,def_plays,def_drives,def_total_ppa,def_successful_def_downs,def_success_rate,def_explosiveness,def_line_yds_total,def_second_lvl_yds_total,def_open_field_yds_total,def_havoc_plays,def_havoc_total,def_standard_downs,def_standard_downs_rate,def_standard_down_ppa_total,def_standard_down_successful_plays,def_standard_downs_success_rate,def_standard_downs_explosiveness,def_passing_downs,def_passing_downs_rate,def_passing_downs_total_ppa,def_passing_down_successes,def_passing_downs_success_rate,def_passing_downs_explosiveness,Def_rushing_plays,def_rushing_plays_rate,def_rushing_plays_total_ppa,def_successful_rushes,def_rushing_plays_success_rate,def_rushing_plays_explosiveness,def_passing_plays,def_passing_plays_rate,def_passing_plays_ppa,def_passing_successes,def_passing_plays_success_rate,def_passing_plays_explosiveness
1,2020,Air Force,Mountain West,5468,979,757.2571688,2170,0.3968544257,9303,3295,4249,904.5,0.1654169715,3688,0.6744696416,319.4070895,1668,0.4522776573,11.28496715,1780,0.3255303584,437.8500792,502,0.2820224719,21.15427559,3270,0.598024872,439.2000683,1361,0.4162079511,11.56574036,2196,0.4016093636,322.0585838,807,0.3674863388,17.15231306,5449,990,890.8959389,2263,0.4153055607,13.45646833,8168,3085,4121,895,0.1642503212,3695,0.6781060745,342.4635657,1731,0.4684709066,10.9575911,1754,0.3218939255,549.3475362,532,0.3033067275,21.57701418,2870,0.5267021472,347.5582062,1178,0.4104529617,11.51478982,2576,0.4727472931,225.2755982,1082,0.4200310559,15.73912277
2,2020,Akron,Mid-American,4597,802,1168.104417,2118,0.4607352621,8187,3180,3717,700.5,0.1523819883,3220,0.7004568197,593.0975726,1642,0.5099378882,11.50483064,1377,0.2995431803,575.0068447,476,0.3456790123,22.77501829,2557,0.5562323254,501.3202284,1179,0.4610872116,11.05206106,2039,0.4435501414,669.7308657,938,0.4600294262,17.66336727,4547,809,940.4442564,2018,0.4438091049,13.66624462,7148,2725,3117,787.5,0.173191115,3162,0.6954035628,471.1930908,1560,0.4933586338,11.64530825,1385,0.3045964372,566.3979365,458,0.3306859206,20.21810861,2357,0.5183637563,374.0463199,1039,0.4408145948,11.14783522,2190,0.4816362437,183.8740908,979,0.4470319635,16.47974615
3,2020,Alabama,SEC,7341,1265,1561.429138,3338,0.4547064433,10502,3912,3816,1182,0.1610134859,5121,0.6975888843,737.5056979,2549,0.4977543449,9.859444182,2220,0.3024111157,823.9234399,789,0.3554054054,18.03390844,3451,0.4700994415,529.3923266,1568,0.4543610548,9.271151872,3888,0.5296281161,1035.993035,1768,0.4547325103,14.13799919,7400,1255,1595.952986,3414,0.4613513514,11.72672755,11061,4191,4450,1193,0.1612162162,5225,0.7060810811,760.96907,2652,0.5075598086,9.687192212,2175,0.2939189189,996.6091062,762,0.3503448276,18.78691053,3655,0.4939189189,604.0287875,1719,0.4703146375,9.153898303,3743,0.5058108108,529.284747,1693,0.4523109805,14.34577071
4,2020,Appalachian State,Sun Belt,8130,1444,1603.298871,3530,0.4341943419,12774,4617,5407,1356.5,0.1668511685,5623,0.6916359164,773.9357109,2691,0.4785701583,11.2408647,2507,0.3083640836,829.3631597,839,0.3346629438,20.14387957,4279,0.5263222632,603.4373378,1855,0.4335125029,10.63832655,3848,0.4733087331,1005.655013,1672,0.4345114345,16.25478858,8124,1442,1423.853948,3512,0.4322993599,13.32347083,12170,4567,5318,1360,0.1674052191,5598,0.6890694239,670.7153702,2695,0.4814219364,11.29538994,2526,0.3109305761,864.1021407,817,0.3234362629,19.95120048,4220,0.5194485475,564.8040785,1816,0.4303317536,11.14293441,3901,0.4801821763,440.0683617,1693,0.4339912843,15.7323363
5,2020,Arizona,Pac-12,4574,819,1052.647982,2086,0.4560559685,6930,2860,4053,722,0.1578487101,3198,0.6991692173,553.9612145,1615,0.505003127,11.23285161,1376,0.3008307827,498.6867676,471,0.3422965116,20.27043109,2427,0.5306077831,378.7610115,1097,0.4519983519,11.26711844,2146,0.4691735899,675.5320008,988,0.4603914259,15.7210875,4587,828,660.9724517,1925,0.4196642686,12.90395947,6156,2347,2679,791.5,0.1725528668,3102,0.6762589928,255.0968608,1466,0.4725983237,10.90437324,1485,0.3237410072,452.9988138,459,0.3090909091,19.42641047,2184,0.4761281884,209.6186682,924,0.4230769231,11.18960882,2402,0.5236538042,214.9252641,1000,0.4163197336,14.63050228
6,2020,Arizona State,Pac-12,4752,821,1088.819187,2180,0.4587542088,6998,2849,3555,738.5,0.1554082492,3303,0.6950757576,547.881704,1673,0.506509234,11.024265,1449,0.3049242424,540.9374834,507,0.3498964803,19.31873709,2363,0.4972643098,420.7177069,1091,0.4617012273,11.28822852,2388,0.5025252525,669.7465107,1088,0.4556113903,14.8307778,4589,822,964.4855862,2029,0.442144258,13.49429975,7081,2781,3739,711.5,0.155044672,3171,0.6910002179,454.835457,1560,0.4919583728,11.35189245,1418,0.3089997821,572.1819184,469,0.3307475317,20.73827138,2336,0.5090433646,392.3036679,1066,0.4563356164,11.4340543,2253,0.4909566354,328.3111061,963,0.4274300932,15.87552891
7,2020,Arkansas,SEC,7846,1357,1804.011732,3629,0.462528677,12285,4458,4939,1153.5,0.1470175886,5607,0.7146316594,880.6737531,2832,0.505082932,10.76202172,2239,0.2853683406,923.3379785,797,0.3559624833,21.06447976,3966,0.5054804996,667.2195867,1869,0.4712556732,10.00207073,3880,0.4945195004,1136.792145,1760,0.4536082474,16.24890288,7654,1357,1323.434014,3332,0.4353279331,12.86583718,10359,3877,3781,1335,0.1744186047,5284,0.6903579828,575.2094891,2547,0.4820211961,10.70718268,2370,0.3096420172,893.4730199,785,0.3312236287,19.89288903,3615,0.4723020643,445.4227096,1583,0.4378976487,10.18384142,4034,0.5270446825,541.2725496,1744,0.4323252355,15.46405527
8,2020,Arkansas State,Sun Belt,7806,1381,1520.568069,3405,0.4362029208,12797,4822,5855,1269,0.162567256,5388,0.6902382782,669.2904664,2596,0.4818114328,10.95809545,2418,0.3097617218,851.2776028,809,0.3345740281,20.34029218,4287,0.5491929285,651.6260493,1892,0.4413342664,10.85837754,3516,0.4504227517,874.9318866,1510,0.4294653015,16.10969077,7949,1377,1391.758016,3435,0.4321298277,12.94227023,12492,4616,4897,1307.5,0.1644860989,5458,0.6866272487,613.8187497,2616,0.4792964456,10.83567596,2491,0.3133727513,762.45805,819,0.328783621,19.69061897,4150,0.5220782488,636.7816937,1827,0.4402409639,10.94008717,3795,0.4774185432,333.2633897,1604,0.4226613966,15.36628143
9,2020,Army,FBS Independents,4684,818,883.519578,2055,0.4387275833,7960,2960,3223,780,0.1665243382,3266,0.6972672929,355.9642684,1584,0.4849969382,8.879069561,1418,0.3027327071,527.5553096,471,0.332157969,17.87395931,2645,0.5646883006,406.9574375,1195,0.4517958412,8.886448806,2038,0.4350982067,478.6046219,859,0.4214916585,13.7677517,4551,827,710.8766191,1954,0.4293561855,10.89398482,6580,2584,3152,830,0.1823774995,3101,0.6813887058,312.5095385,1482,0.4779103515,9.14438915,1450,0.3186112942,458.4811495,472,0.3255172414,16.06442876,2314,0.5084596792,252.3954696,1000,0.4321521175,8.640416124,2237,0.4915403208,177.937224,954,0.4264640143,13.08051068
10,2020,Auburn,SEC,7651,1331,1675.502895,3502,0.4577179454,11424,4184,4451,1220.5,0.1595216312,5419,0.7082734283,759.3315767,2683,0.4951097989,10.88039907,2232,0.2917265717,916.1713187,819,0.3669354839,19.96037025,3762,0.4917004313,631.504411,1738,0.4619883041,10.65855996,3888,0.5081688668,1046.338418,1763,0.4534465021,15.46903453,7468,1328,1442.673021,3320,0.4445634708,13.19723334,10769,3932,4363,1238.5,0.1658409213,5207,0.697241564,654.4426703,2560,0.4916458613,10.90689005,2261,0.302758436,911.8267894,760,0.3361344538,21.11906617,3591,0.4808516336,537.8710723,1620,0.4511278195,10.45622064,3874,0.5187466524,458.959035,1697,0.4380485287,15.95034308
