"","season","team","conference","X2020.Off.Success.Rate.Rank","X2020.Off.Finishing.Drives","X2020.Off.Havoc","X2020.Def.Success.Rate.Rank","X2020.Def.Finishing.Drives","X2020.Def.Havoc","DK.Opener","TAN","SP.","off_plays","off_drives","off_total_ppa","off_epa_per_play","successful_plays","off_success_rate","off_line_yds_total","off_second_lvl_yds_total","off_open_field_yds_total","off_havoc_plays","off_havoc_total","off_standard_downs","off_standard_downs_rate","off_standard_down_ppa_total","off_standard_down_epa_play","off_standard_down_success","off_standard_downs_success_rate","off_standard_downs_explosiveness","off_passing_downs","off_passing_downs_rate","off_passing_down_ppa_play","off_passing_down_ppa","off_passing_down_successes","off_passing_downs_success_rate","off_passing_downs_explosiveness","off_rushing_plays","off_rushing_plays_rate","off_rushing_plays_ppa_play","off_rushing_plays_total_ppa","successful_rushes","off_rushing_plays_success_rate","off_rushing_plays_explosiveness","off_passing_plays","off_passing_plays_rate","off_passing_plays_ppa_play","off_passing_plays_total_ppa","successful_passes","off_passing_plays_success_rate","off_passing_plays_explosiveness","def_plays","def_drives","def_ppa_per_play","def_total_ppa","def_successful_def_downs","def_success_rate","def_explosiveness","def_line_yds_total","def_second_lvl_yds_total","def_open_field_yds_total","def_havoc_plays","def_havoc_total","def_standard_downs","def_standard_downs_rate","def_standard_down_ppa_per_play","def_standard_down_ppa_total","def_standard_down_successful_plays","def_standard_downs_success_rate","def_standard_downs_explosiveness","def_passing_downs","def_passing_downs_rate","def_passing_downs_ppa_per_play","def_passing_downs_total_ppa","def_passing_down_successes","def_passing_downs_success_rate","def_passing_downs_explosiveness","Def_rushing_plays","def_rushing_plays_rate","def_rushing_plays_ppa_per_play","def_rushing_plays_total_ppa","def_successful_rushes","def_rushing_plays_success_rate","def_rushing_plays_explosiveness","def_passing_plays","def_passing_plays_rate","def_passing_plays_ppa_per_play","def_passing_plays_ppa","def_passing_successes","def_passing_plays_success_rate","def_passing_plays_explosiveness","logo","color","alt_color","Conf","Div","Net.RP","X2021.Off.Adjust","X2021.Def.Adj","RP.Offense","RP.Defense","O.Pass","O.Recv","OL.Starts","OL.Played","O.Rush","D.Tackles","D.PD","D.INT","D.Sacks","D.TFL"
"1",2020,"Air Force","Mountain West",1082,936,870,549,632,757,63,772.7,-78.9,5468,979,757.2571688,0.138488875,2170,0.3968544257,9303,3295,4249,904.5,0.1654169715,3688,0.6744696416,319.4070895,0.0866071284,1668,0.4522776573,11.28496715,1780,0.3255303584,0.2459831906,437.8500792,502,0.2820224719,21.15427559,3270,0.598024872,0.1343119475,439.2000683,1361,0.4162079511,11.56574036,2196,0.4016093636,0.1466569143,322.0585838,807,0.3674863388,17.15231306,5449,990,0.1634971442,890.8959389,2263,0.4153055607,13.45646833,8168,3085,4121,895,0.1642503212,3695,0.6781060745,0.09268296772,342.4635657,1731,0.4684709066,10.9575911,1754,0.3218939255,0.313196999,549.3475362,532,0.3033067275,21.57701418,2870,0.5267021472,0.1211004203,347.5582062,1178,0.4104529617,11.51478982,2576,0.4727472931,0.08745170736,225.2755982,1082,0.4200310559,15.73912277,"http://a.espncdn.com/i/teamlogos/ncaa/500/2005.png","#004a7b","#ffffff","MW","M",-1.5,2,-3.5,"61%","47%","100.00%","60.36%","6.25%","27.03%","81.69%","53.06%","36.36%","60.00%","57.14%","43.48%"
"2",2020,"Akron","Mid-American",545,578,457,706,784,619,68.5,795.7,-36.8,4597,802,1168.104417,0.2541014612,2118,0.4607352621,8187,3180,3717,700.5,0.1523819883,3220,0.7004568197,593.0975726,0.1841917927,1642,0.5099378882,11.50483064,1377,0.2995431803,0.4175794079,575.0068447,476,0.3456790123,22.77501829,2557,0.5562323254,0.1960579697,501.3202284,1179,0.4610872116,11.05206106,2039,0.4435501414,0.328460454,669.7308657,938,0.4600294262,17.66336727,4547,809,0.2068274151,940.4442564,2018,0.4438091049,13.66624462,7148,2725,3117,787.5,0.173191115,3162,0.6954035628,0.1490174228,471.1930908,1560,0.4933586338,11.64530825,1385,0.3045964372,0.4089515787,566.3979365,458,0.3306859206,20.21810861,2357,0.5183637563,0.1586959355,374.0463199,1039,0.4408145948,11.14783522,2190,0.4816362437,0.08396077203,183.8740908,979,0.4470319635,16.47974615,"http://a.espncdn.com/i/teamlogos/ncaa/500/2006.png","#00285e","#84754e","MAC","E",8.5,5,3.5,"79%","80%","100.00%","72.00%","49.12%","72.12%","100.00%","79.17%","88.89%","33.33%","77.41%","81.25%"
"3",2020,"Alabama","SEC",471,609,240,870,721,457,75.5,875.9,90.7,7341,1265,1561.429138,0.2126997872,3338,0.4547064433,10502,3912,3816,1182,0.1610134859,5121,0.6975888843,737.5056979,0.1440159535,2549,0.4977543449,9.859444182,2220,0.3024111157,0.3711366846,823.9234399,789,0.3554054054,18.03390844,3451,0.4700994415,0.1534025867,529.3923266,1568,0.4543610548,9.271151872,3888,0.5296281161,0.2664591139,1035.993035,1768,0.4547325103,14.13799919,7400,1255,0.2156693224,1595.952986,3414,0.4613513514,11.72672755,11061,4191,4450,1193,0.1612162162,5225,0.7060810811,0.1456400134,760.96907,2652,0.5075598086,9.687192212,2175,0.2939189189,0.4582110833,996.6091062,762,0.3503448276,18.78691053,3655,0.4939189189,0.1652609542,604.0287875,1719,0.4703146375,9.153898303,3743,0.5058108108,0.1414065581,529.284747,1693,0.4523109805,14.34577071,"http://a.espncdn.com/i/teamlogos/ncaa/500/333.png","#690014","#828A8F","SEC","W",-4.5,-7,2.5,"26%","76%","3.35%","32.87%","29.17%","51.48%","37.72%","74.31%","70.00%","75.00%","82.86%","90.72%"
"4",2020,"Appalachian State","Sun Belt",684,626,434,719,658,474,66.5,808.2,-9.8,8130,1444,1603.298871,0.1972077332,3530,0.4341943419,12774,4617,5407,1356.5,0.1668511685,5623,0.6916359164,773.9357109,0.1376375086,2691,0.4785701583,11.2408647,2507,0.3083640836,0.3308189708,829.3631597,839,0.3346629438,20.14387957,4279,0.5263222632,0.1410229815,603.4373378,1855,0.4335125029,10.63832655,3848,0.4733087331,0.2613448577,1005.655013,1672,0.4345114345,16.25478858,8124,1442,0.1752651339,1423.853948,3512,0.4322993599,13.32347083,12170,4567,5318,1360,0.1674052191,5598,0.6890694239,0.1198133923,670.7153702,2695,0.4814219364,11.29538994,2526,0.3109305761,0.3420831911,864.1021407,817,0.3234362629,19.95120048,4220,0.5194485475,0.133839829,564.8040785,1816,0.4303317536,11.14293441,3901,0.4801821763,0.1128091161,440.0683617,1693,0.4339912843,15.7323363,"http://a.espncdn.com/i/teamlogos/ncaa/500/2026.png","#000000","#ffcd00","SUN","E",7,2.5,4.5,"64%","83%","49.65%","95.75%","38.64%","47.10%","74.35%","94.04%","72.41%","93.33%","96.15%","65.17%"
"5",2020,"Arizona","Pac-12",522,576,726,714,618,595,80.5,929.5,138,4574,819,1052.647982,0.2301372938,2086,0.4560559685,6930,2860,4053,722,0.1578487101,3198,0.6991692173,553.9612145,0.1732211427,1615,0.505003127,11.23285161,1376,0.3008307827,0.362417709,498.6867676,471,0.3422965116,20.27043109,2427,0.5306077831,0.1560613974,378.7610115,1097,0.4519983519,11.26711844,2146,0.4691735899,0.31478658,675.5320008,988,0.4603914259,15.7210875,4587,828,0.1440968938,660.9724517,1925,0.4196642686,12.90395947,6156,2347,2679,791.5,0.1725528668,3102,0.6762589928,0.08223625429,255.0968608,1466,0.4725983237,10.90437324,1485,0.3237410072,0.3050497062,452.9988138,459,0.3090909091,19.42641047,2184,0.4761281884,0.09597924368,209.6186682,924,0.4230769231,11.18960882,2402,0.5236538042,0.08947762869,214.9252641,1000,0.4163197336,14.63050228,"http://a.espncdn.com/i/teamlogos/ncaa/500/12.png","#CC0033","#003366","P12","S",9,4.5,4.5,"75%","83%","72.25%","73.80%","85.42%","81.53%","53.63%","87.28%","90.91%","100.00%","50.00%","58.82%"
"6",2020,"Arizona State","Pac-12",502,685,613,879,754,846,62.5,865.1,74.5,4752,821,1088.819187,0.2291286169,2180,0.4587542088,6998,2849,3555,738.5,0.1554082492,3303,0.6950757576,547.881704,0.1658739643,1673,0.506509234,11.024265,1449,0.3049242424,0.3733177939,540.9374834,507,0.3498964803,19.31873709,2363,0.4972643098,0.1780438878,420.7177069,1091,0.4617012273,11.28822852,2388,0.5025252525,0.2804633629,669.7465107,1088,0.4556113903,14.8307778,4589,822,0.2101733681,964.4855862,2029,0.442144258,13.49429975,7081,2781,3739,711.5,0.155044672,3171,0.6910002179,0.1434359688,454.835457,1560,0.4919583728,11.35189245,1418,0.3089997821,0.4035133416,572.1819184,469,0.3307475317,20.73827138,2336,0.5090433646,0.167938214,392.3036679,1066,0.4563356164,11.4340543,2253,0.4909566354,0.1457217515,328.3111061,963,0.4274300932,15.87552891,"http://a.espncdn.com/i/teamlogos/ncaa/500/9.png","#942139","#FFC627","P12","S",10.5,5.5,5,"82%","99%","100.00%","81.42%","64.71%","52.94%","100.00%","99.68%","100.00%","100.00%","100.00%","96.43%"
"7",2020,"Arkansas","SEC",507,634,339,708,573,477,85,925.5,135.7,7846,1357,1804.011732,0.2299275722,3629,0.462528677,12285,4458,4939,1153.5,0.1470175886,5607,0.7146316594,880.6737531,0.1570668367,2832,0.505082932,10.76202172,2239,0.2853683406,0.4123885567,923.3379785,797,0.3559624833,21.06447976,3966,0.5054804996,0.1682348933,667.2195867,1869,0.4712556732,10.00207073,3880,0.4945195004,0.2929876662,1136.792145,1760,0.4536082474,16.24890288,7654,1357,0.1729075012,1323.434014,3332,0.4353279331,12.86583718,10359,3877,3781,1335,0.1744186047,5284,0.6903579828,0.1088587224,575.2094891,2547,0.4820211961,10.70718268,2370,0.3096420172,0.3769928354,893.4730199,785,0.3312236287,19.89288903,3615,0.4723020643,0.123215134,445.4227096,1583,0.4378976487,10.18384142,4034,0.5270446825,0.1341776276,541.2725496,1744,0.4323252355,15.46405527,"http://a.espncdn.com/i/teamlogos/ncaa/500/8.png","#9c1831","#000000","SEC","W",7.5,3,4.5,"66%","84%","12.28%","95.84%","100.00%","100.00%","35.08%","85.49%","97.22%","100.00%","60.71%","53.97%"
"8",2020,"Arkansas State","Sun Belt",661,640,534,727,673,507,72.5,813.3,12.5,7806,1381,1520.568069,0.1947947821,3405,0.4362029208,12797,4822,5855,1269,0.162567256,5388,0.6902382782,669.2904664,0.1242187206,2596,0.4818114328,10.95809545,2418,0.3097617218,0.3520585619,851.2776028,809,0.3345740281,20.34029218,4287,0.5491929285,0.152000478,651.6260493,1892,0.4413342664,10.85837754,3516,0.4504227517,0.2488429712,874.9318866,1510,0.4294653015,16.10969077,7949,1377,0.1750859247,1391.758016,3435,0.4321298277,12.94227023,12492,4616,4897,1307.5,0.1644860989,5458,0.6866272487,0.1124622114,613.8187497,2616,0.4792964456,10.83567596,2491,0.3133727513,0.3060851264,762.45805,819,0.328783621,19.69061897,4150,0.5220782488,0.153441372,636.7816937,1827,0.4402409639,10.94008717,3795,0.4774185432,0.08781643998,333.2633897,1604,0.4226613966,15.36628143,"http://a.espncdn.com/i/teamlogos/ncaa/500/2032.png","#e81018","#000000","SUN","W",-1.5,-2,0.5,"48%","66%","57.41%","37.19%","38.10%","56.67%","59.42%","65.70%","75.68%","83.33%","48.78%","43.48%"
"9",2020,"Army","FBS Independents",587,552,346,534,483,346,56.5,644.3,-21.6,4684,818,883.519578,0.1886250167,2055,0.4387275833,7960,2960,3223,780,0.1665243382,3266,0.6972672929,355.9642684,0.1089908966,1584,0.4849969382,8.879069561,1418,0.3027327071,0.3720418262,527.5553096,471,0.332157969,17.87395931,2645,0.5646883006,0.1538591446,406.9574375,1195,0.4517958412,8.886448806,2038,0.4350982067,0.2348403444,478.6046219,859,0.4214916585,13.7677517,4551,827,0.1562022894,710.8766191,1954,0.4293561855,10.89398482,6580,2584,3152,830,0.1823774995,3101,0.6813887058,0.1007770198,312.5095385,1482,0.4779103515,9.14438915,1450,0.3186112942,0.3161938962,458.4811495,472,0.3255172414,16.06442876,2314,0.5084596792,0.1090732367,252.3954696,1000,0.4321521175,8.640416124,2237,0.4915403208,0.07954279126,177.937224,954,0.4264640143,13.08051068,"http://a.espncdn.com/i/teamlogos/ncaa/500/349.png","#ce9c00","#231f20","IND","",10.5,6.5,4,"85%","81%","100.00%","88.83%","62.28%","68.65%","88.12%","80.69%","81.25%","78.57%","91.67%","75.61%"
"10",2020,"Auburn","SEC",555,623,538,822,708,554,79.5,903.9,116.7,7651,1331,1675.502895,0.21899136,3502,0.4577179454,11424,4184,4451,1220.5,0.1595216312,5419,0.7082734283,759.3315767,0.14012393,2683,0.4951097989,10.88039907,2232,0.2917265717,0.4104710209,916.1713187,819,0.3669354839,19.96037025,3762,0.4917004313,0.1678640114,631.504411,1738,0.4619883041,10.65855996,3888,0.5081688668,0.2691199634,1046.338418,1763,0.4534465021,15.46903453,7468,1328,0.1931806402,1442.673021,3320,0.4445634708,13.19723334,10769,3932,4363,1238.5,0.1658409213,5207,0.697241564,0.1256851681,654.4426703,2560,0.4916458613,10.90689005,2261,0.302758436,0.4032847366,911.8267894,760,0.3361344538,21.11906617,3591,0.4808516336,0.1497830889,537.8710723,1620,0.4511278195,10.45622064,3874,0.5187466524,0.1184716146,458.959035,1697,0.4380485287,15.95034308,"http://a.espncdn.com/i/teamlogos/ncaa/500/2.png","#03244d","#E87722","SEC","W",9,4.5,4.5,"74%","83%","99.67%","27.57%","100.00%","91.47%","82.44%","81.76%","88.89%","77.78%","78.85%","80.00%"
